t,ax,ay,az,gx,gy,gz,label
52338,1.0771,0.3367,-0.5872,3.015,10.229,-1.634,fall
52358,1.0806,0.3547,-0.5791,-3.962,14.237,-8.198,fall
52378,1.1255,0.4031,-0.5737,-10.0,9.908,-14.015,fall
52398,1.1577,0.448,-0.5706,-10.374,-3.74,-15.198,fall
52418,1.1057,0.4099,-0.5815,-8.458,-6.786,-13.382,fall
52439,1.1016,0.3386,-0.6079,-11.481,7.183,-12.084,fall
52459,1.1255,0.3438,-0.6096,-12.504,10.397,-11.336,fall
52479,1.1406,0.3877,-0.6106,-14.481,6.641,-10.611,fall
52499,1.0835,0.3672,-0.5623,-16.527,11.26,-9.687,fall
52519,1.0149,0.304,-0.5259,-16.756,21.008,-9.275,fall
52539,0.998,0.3022,-0.512,-19.153,24.931,-9.687,fall
52559,0.9626,0.3069,-0.4709,-23.908,28.069,-10.878,fall
